web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image
"1776069304-25","https://www.kikidrop.com/en/list","Bento Zen","Djibouti","1 hr, 10 mins","12.51 Km","11:00 -  14:30","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-eleuodhqC2yCDs1755452392542-E0350B8177064E18A1F9C88ECD1CC36B.avif"
"1776069304-26","https://www.kikidrop.com/en/list","PAPA PIZZA","Citée Saudi, en face du magasin Hancakes","35 mins","12.53 Km","11:00 -  14:30","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-hqx3xzrzTdEClX1651228314910-WhatsApp20Image202022042720at2012.47.23.jpeg"
"1776069304-27","https://www.kikidrop.com/en/list","BIG HOUSE","Gabode 5","1 hr, 20 mins","12.57 Km","08:00 -  20:00","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-zhavux7T9aomyS1699351965047-AppBigHouse.jpg"
"1776069304-28","https://www.kikidrop.com/en/list","MBBS MAGASIN","Gabode 5","40 mins","12.59 Km","09:00 -  22:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-cowt00r8fl5g7z1702625990266-WhatsApp20Image202023121520at2010.39.58.jpeg"
"1776069304-29","https://www.kikidrop.com/en/list","AMORE-PASTA","Gabode 5","55 mins","12.65 Km","08:30 -  23:00","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-26fa9s7p8htufV1700672429823-AmorePasta.jpg"
"1776069304-30","https://www.kikidrop.com/en/list","Sweet Home Bakery","En face de guelleh batal","35 mins","12.71 Km","08:00 -  22:00","3.9","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-4owc71azOeQCCb1763904602129-SHB201.avif"
"1776069304-31","https://www.kikidrop.com/en/list","Chez Davi’do","-","55 mins","12.75 Km","11:00 -  23:00","4.1","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-9xtczwivPb7Hw51691140968363-b7e96b4eaff540eda3bb4e819b9f79a4.jpeg"
"1776069304-32","https://www.kikidrop.com/en/list","MONT LIBAN","route de l'aviation","50 mins","12.76 Km","11:00 -  23:30","3.6","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-6iq9p8jsohCSSn1629650155337-WhatsApp20Image202021082220at2014.11.43.jpeg"
"1776069304-33","https://www.kikidrop.com/en/list","Coldstone Creamery Gabode","Gabode","40 mins","12.76 Km","10:00 -  22:00","3.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-lmg38q49jk5m5Q1753869748303-C0H51640003397689ColdStone5B194825D.avif"
"1776069304-34","https://www.kikidrop.com/en/list","LE MOULIN","GABODE 5","40 mins","12.78 Km","10:00 -  15:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-9o4c9npvvf5mvz1631543684557-LeMoulin5B140445D.jpg"
"1776069304-35","https://www.kikidrop.com/en/list","O' TACOS DE LYON","A coté de l'Hôtel l'aube","40 mins","12.91 Km","11:00 -  15:00","4.4","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-79w47p6hogeZVi1706291868166-8A22B72EBB244499BF3F9113AF8C7EC3.jpeg"
"1776069304-36","https://www.kikidrop.com/en/list","MARKI RESTAURANT","Gabode 5","40 mins","12.91 Km","11:00 -  15:00","4.1","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-6k3lqbsni4PNFi1709632164580-Marki.jpg"
"1776069304-37","https://www.kikidrop.com/en/list","Healthy Zone","Free Zone","40 mins","12.94 Km","08:00 -  14:00","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-90qlts05qePDOR1737526304733-HealthyZone.jpg"
"1776069304-38","https://www.kikidrop.com/en/list","Khaty's Shop","GABODE 3","35 mins","13.00 Km","09:00 -  23:59","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-9eehg7u8G2UKcr1748241127826-WhatsApp20Image202025052420at2018.16.35.avif"
"1776069304-39","https://www.kikidrop.com/en/list","L'ATYPIQUE","L'Atypique 5em Riaom","50 mins","13.06 Km","11:00 -  14:00","4.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-13qt62owB8qtBh1679831464906-WhatsApp20Image202023032620at2014.50.31.jpeg"
"1776069304-40","https://www.kikidrop.com/en/list","SABLES BLANCS","-","1 hr","13.12 Km","08:00 -  14:30","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-kwra846nah63fO1603658741409-WhatsAppImage20201025at09.44.07.jpeg"
"1776069304-41","https://www.kikidrop.com/en/list","SH Beauty Box","djibouti","1 hr, 20 mins","13.16 Km","00:01 -  23:59","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2qbihmyfH3jmRz1701424590298-SH.jpg"
"1776069304-42","https://www.kikidrop.com/en/list","PAIEMENT DE FACTURES ET PLANTON","Djibouti","40 mins","13.18 Km","08:00 -  23:30","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-ab8xixlfEhPgPi1632934774226-KikiServices5B160165D.jpg"
"1776069304-43","https://www.kikidrop.com/en/list","Papou's Coffee Corner","Djibouti","40 mins","13.27 Km","08:00 -  21:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-c8tiwk1oHmn4Sa1759238416432-WhatsApp20Image202025093020at2016.00.03.avif"
"1776069304-44","https://www.kikidrop.com/en/list","Al haramain Perfumes","hamoudi mall","35 mins","13.30 Km","09:00 -  22:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2iwk7kh44oYhBK1746613380467-AlHaramain.avif"
"1776069304-45","https://www.kikidrop.com/en/list","PHARMACIE TAYBA","Centre commercial hamoudi","35 mins","13.31 Km","08:00 -  13:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-iig3v1tvw4IirJ1725789684372-Tayba.jpg"
"1776069304-46","https://www.kikidrop.com/en/list","PAPPAROTI","Immeuble Waafi Residence","40 mins","13.34 Km","07:30 -  22:00","4.4","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-kfaws0cfH2Bv041758732750651-IMG8586.avif"
